G_GAN,G_L1,D_loss,
5.915,2070.482,-3.925,
5.175,535.819,-3.474,
6.238,560.792,-2.810,
7.144,629.003,-6.259,
5.099,2300.216,-3.586,
6.713,2093.347,-3.738,
6.746,683.406,-6.565,
5.425,660.429,-2.979,
4.857,482.223,-2.638,
6.415,1973.075,-3.525,
5.281,549.391,-2.374,
6.548,448.084,-2.428,
6.411,2352.991,-8.406,
8.174,556.554,-6.554,
6.507,2260.010,-7.081,
6.005,392.137,-2.670,
5.775,355.766,-2.492,
5.941,615.643,-2.385,
6.946,415.541,-5.072,
4.944,601.526,-2.519,
5.654,431.962,-2.399,
5.924,2477.587,-2.491,
6.005,2474.333,-3.817,
7.398,2222.437,-6.586,
6.384,550.219,-4.252,
6.655,392.213,-6.194,
8.160,2052.116,-4.387,
5.333,474.286,-2.689,
8.173,597.555,-9.227,
5.137,661.736,-3.194,
7.610,2338.253,-7.387,
6.827,2250.809,-3.563,
6.130,519.847,-6.778,
5.896,410.798,-2.451,
6.327,2215.612,-3.397,
5.669,590.711,-3.006,
6.007,2173.595,-3.272,
4.817,368.699,-2.466,
5.878,468.012,-2.874,
7.446,2588.397,-8.849,
6.551,2075.831,-5.408,
6.665,2382.793,-2.975,
6.012,2183.790,-3.812,
6.259,1937.026,-3.981,
5.149,540.013,-3.221,
5.232,2370.646,-2.948,
5.951,2262.147,-3.971,
5.641,458.114,-3.323,
5.922,2454.352,-3.265,
7.917,2432.173,-3.438,
5.913,551.578,-3.380,
6.118,2353.651,-7.131,
5.509,2156.766,-3.800,
4.868,2084.609,-5.121,
6.391,513.684,-3.183,
6.377,2060.130,-3.526,
6.060,439.093,-3.540,
6.860,2161.741,-9.159,
5.299,586.699,-6.636,
5.259,651.266,-4.081,
5.632,622.159,-6.938,
6.695,528.843,-4.517,
5.744,631.123,-2.922,
6.691,2316.812,-2.920,
6.596,2055.446,-3.159,
6.499,2197.587,-3.961,
5.769,602.282,-5.518,
5.651,628.391,-3.406,
6.666,1947.590,-3.998,
4.044,521.263,-4.986,
6.258,2303.135,-3.103,
5.966,550.561,-3.216,
5.339,2233.600,-5.951,
6.196,441.227,-6.807,
7.036,2438.412,-7.577,
5.032,447.857,-2.825,
6.508,1972.159,-4.206,
5.561,509.228,-3.349,
4.426,470.657,-2.482,
7.045,356.860,-2.752,
5.416,545.535,-2.769,
5.895,512.156,-2.726,
6.121,448.619,-4.902,
5.318,566.638,-3.186,
7.359,2117.667,-4.701,
6.442,2290.462,-3.861,
6.050,587.798,-5.709,
5.852,458.128,-2.863,
4.997,682.428,-2.472,
7.973,634.035,-3.903,
7.177,464.798,-3.107,
